,idade,salario
627,41,3400
628,22,1000
629,45,5500
630,24,1000
631,34,2500
632,25,2000
633,27,1200
634,42,1800
635,20,1600
636,24,2630
637,38,3250
638,31,1200
639,48,6507
640,32,1780
641,40,2500
642,35,3000
643,24,1420
644,34,5200
645,36,1518
646,37,12000
647,29,1900
648,41,1500
649,25,570
650,23,1000
651,25,1800
652,22,1000
653,29,4100
654,58,17000
655,48,6600
656,31,1797
657,30,1250
658,41,2245
659,36,9000
660,26,1092.00
661,37,5600
662,48,10000
663,29,6200
664,36,1300
665,46,5100
666,42,2400
667,36,1280
668,19,800
669,35,5600
670,21,1200
671,23,1300
672,38,2200
673,28,3000
674,33,3500
675,26,1900
676,41,2000
677,41,3500
678,46,4500
679,30,3200
680,36,3800
681,22,600
682,44,1500
683,39,2455
684,43,4000
685,27,1060
686,37,4733.24
687,25,1300
688,46,3700
689,31,1800
690,28,1700
691,51,750
692,53,12000
693,30,3000
694,33,3500
695,49,3000
696,28,1300
697,36,2500
698,27,1800
699,40,2500
700,36,2309
701,29,1318
702,29,1600
703,30,3020.00
704,49,1400
705,22,1100
706,38,12000
707,24,2100.00
708,34,4200
709,24,2750
710,51,9000
711,35,9000
712,32,1328.96
713,37,1600
714,37,5840
715,52,2504.00
716,30,3850.00
717,39,9500
718,32,3000
719,32,1500
720,23,1270
721,32,2553
722,37,3600
723,25,1800
724,30,550
725,44,3000
726,22,1100
727,49,1250
728,35,10600
729,57,8300
730,44,4000
731,23,1690.00
732,23,600
733,48,2500
734,21,530
735,56,2030
736,26,3000
737,44,1500
738,44,15000
739,42,10000
740,31,1500.00
741,24,2000
742,26,1500
743,29,1240
744,34,1600
745,44,3724.34
746,28,6800
747,52,7500
748,32,8160
749,38,1200
750,33,9500
751,33,2000
752,20,1000
753,31,6530
754,32,6000
755,50,8000
756,33,1400
757,45,1650.00
758,35,1260.6
759,30,3500
760,28,1500
761,26,916
762,22,1100
763,22,1000
764,24,2100
765,22,1300.00
766,44,1600.00
767,24,1072
768,35,3200
769,24,1180
770,47,9000
771,32,2500
772,24,1312
773,34,2300
774,27,1800
775,32,3000
776,41,1590.00
777,20,900
778,43,10000
779,40,3724
780,27,2000
781,22,1250
782,20,954
783,41,2500
784,49,1500
785,32,6000
786,33,5000
787,40,6000
788,54,8400
789,24,1500
790,57,4000
791,24,1500
792,28,5300
793,21,1322
794,19,1381.55
795,54,25000
796,48,16000
797,22,1100
798,47,1200
799,38,937
800,26,1258
801,19,1100
802,28,1900
803,44,1200
804,32,1600
805,46,8000
806,46,20000
807,62,3000
808,36,2500
809,45,8200
810,29,3619
811,44,3800
812,37,1400
813,35,2100
814,22,2800
815,28,1890
816,32,5000
817,43,1220
818,39,14500
819,25,1500
820,27,1600
821,34,1100
822,45,3000
823,24,1200
824,28,3400
825,26,2000
826,48,3800
827,33,4000
828,43,1111
829,45,9206
830,53,12557
831,39,2000
832,24,1200.00
833,26,2200
834,27,1100
835,31,8200.00
836,60,4500
837,32,2500
838,61,16000
839,27,1800
840,38,1200
841,32,6200
842,28,8012
843,24,1380
844,35,5000
845,60,5400
846,25,6000
847,20,1000
848,50,8500
849,40,4200
850,33,1800
851,25,937
852,54,18000
853,30,1600
854,43,1035
855,48,14000
856,23,800
857,31,3850
858,25,1600.00
859,42,2170
860,31,4500
861,26,1600
862,37,7000.00
863,24,1200
864,54,3000
865,35,6300
866,31,4500
867,43,2629
868,25,1600
869,29,1600
870,36,1700
871,37,4500
872,59,1200
873,23,774
874,39,3000
875,26,1800
876,30,3000
877,35,1700
878,38,4000
879,28,1878
880,42,7000
881,33,4700
882,33,857.00
883,37,2987.4
884,36,6500
885,37,3000
886,57,2500
887,37,7000
888,32,2100
889,22,1300.00
890,41,8000
891,29,2850
892,22,2500
893,30,6000
894,29,1524
895,24,1500
896,29,11600
897,50,12000
898,35,1800
899,53,10738
900,47,2371.1
901,35,1000
902,29,1200
903,46,6000
904,42,14000
905,44,1800
906,27,1200
907,57,1500
908,42,2400
909,28,1100
910,27,2000
911,27,5500
912,18,957
913,25,2549.75
914,29,2300
915,53,3500
916,25,1695.82
917,29,6500
918,29,1345
919,30,2000
920,35,1500
921,25,1000
922,50,15000
923,32,3500
924,31,1300
925,25,1000.00
926,33,2100
927,52,2700.00
928,24,1500
929,34,3000.00
930,37,7535.00
931,37,5500.00
932,53,9000
933,27,1380
934,35,1336
935,22,1220
936,31,3000
937,28,1680
938,26,2000
939,43,2000
940,29,1200
941,36,917
942,27,724
943,46,8000
944,24,800
945,43,1200
946,41,3978.67
947,40,5600.00
948,37,1900.00
949,43,1430.00
950,23,1407
951,25,1500
952,50,1880
953,30,2850
954,43,3500
955,32,1550
956,57,8000.00
957,32,3360
958,41,1800.01
959,23,980.00
960,47,2800
961,28,2147
962,23,1400.00
963,40,5900
964,40,3500
965,41,4127
966,45,5800
967,31,10000
968,31,8500
969,29,1771.00
970,37,1800
971,47,6500
972,29,2200.00
973,25,3000
974,43,6000
975,32,3500
976,36,2500.00
977,34,4998
978,30,6500
979,33,5500
980,25,1000
981,32,1800
982,25,945
983,39,4567
984,45,1400
985,42,4500.00
986,33,1467
987,40,5550
988,25,3000
989,28,1500
990,27,3709
991,22,1000
992,42,8500
993,34,2700
994,29,5280.00
995,29,10500
996,39,2300
997,47,12000
998,28,6119
999,22,1078
1000,40,19500
1001,25,700
1002,24,1600
1003,28,2000
1004,56,25000
1005,26,1227
1006,26,1000
1007,35,1354
1008,38,1500
1009,34,1500
1010,25,1200
1011,22,1000
1012,51,2200
1013,38,7000
1014,23,1500
1015,43,5900
1016,52,5200
1017,40,1882.82
1018,41,1400
1019,24,1500
1020,22,1533.5
1021,26,1500
1022,29,3500
1023,31,4300
1024,38,1600
1025,37,1600
1026,28,1350
1027,34,1300
1028,20,700
1029,37,2900
1030,33,2100.00
1031,28,1200
1032,49,10000
1033,28,1000
1034,55,12000
1035,45,8750.00
1036,29,2500
1037,38,2650
1038,31,3500
1039,26,1024.00
1040,21,905
1041,37,1300
1042,46,1460
1043,23,1200
1044,33,1275
1045,44,1450
1046,25,1533
1047,34,6200
1048,21,1533
1049,47,12000
1050,47,15000
1051,28,1258
1052,33,1500
1053,25,1450.00
1054,30,1200
1055,45,1000.98
1056,23,1300
1057,48,2019
1058,25,1200
1059,32,2000
1060,40,3000
1061,30,1300
1062,22,935
1063,43,27000
1064,44,5500
1065,26,2000
1066,24,1250
1067,35,3000
1068,55,30000
1069,46,9400
1070,40,1333
1071,34,4000
1072,25,1750
1073,30,1600
1074,29,1400
1075,34,3511.72
1076,26,1134
1077,57,12000
1078,60,1800
1079,33,8630.00
1080,30,1200
1081,47,4700
1082,31,2200
1083,25,906
1084,48,1294
1085,36,3800.00
1086,47,4500
1087,54,4495
1088,31,5500
1089,22,1800
1090,36,2000.00
1091,48,9000
1092,36,9800
1093,38,1226
1094,31,2500
1095,20,1200
1096,52,6600
1097,31,2700
1098,20,954
1099,18,1000
1100,34,950.00
1101,28,815
1102,48,15000
1103,47,2000
1104,45,6000
1105,36,4670
1106,57,6000
1107,33,3000
1108,27,937
1109,23,2000.00
1110,29,1500
1111,33,1250
1112,37,2770
1113,26,1200
1114,25,3000
1115,34,19800
1116,23,1920
1117,34,7000
1118,35,1500
1119,53,4000
1120,25,1200
1121,32,2500
1122,24,3000
1123,42,2000
1124,26,880
1125,28,3000
1126,23,1500
1127,32,1500
1128,21,1160
1129,50,5500
1130,20,1000
1131,29,900
1132,31,1480
1133,38,4110
1134,22,1100
1135,43,18000
1136,28,1170
1137,26,880
1138,28,1700
1139,31,1700
1140,49,13000
1141,41,4000
1142,59,4300
1143,29,10000.00
1144,31,2400
1145,40,1250
1146,38,15000.00
1147,28,2000
1148,26,1200
1149,26,1250
1150,36,2447
1151,63,1200.00
1152,50,9000
1153,30,2100.00
1154,26,2400
1155,26,2000
1156,41,2500.00
1157,22,1500
1158,29,1851
1159,27,2300
1160,37,1380
1161,32,1035
1162,30,3189
1163,28,1300
1164,45,3725.00
1165,26,1380
1166,49,3300
1167,30,1420
1168,37,1000.00
1169,47,5600
1170,22,1500
1171,50,3500
1172,46,1200
1173,32,4000
1174,42,4200
1175,27,880
1176,39,2500
1177,28,1404
1178,44,6500
1179,31,9500
1180,28,1300
1181,37,6700.00
1182,26,1300
1183,40,1768
1184,26,937
1185,28,1900
1186,43,15000
1187,34,800.00
1188,22,1083.00
1189,20,1100
1190,60,5400
1191,24,2135.00
1192,38,6535
1193,28,1600
1194,31,1179
1195,39,4000
1196,34,2000
1197,52,11000
1198,41,6500
1199,39,2020
1200,57,2900
1201,43,1300
1202,25,742
1203,42,1500
1204,25,1447
1205,31,1600
1206,22,640
1207,23,1000
1208,40,2200
1209,29,2000
1210,21,1031
1211,33,1857
1212,32,3200
1213,33,2346
1214,24,4000
1215,23,1700
1216,33,3344.35
1217,36,5000.00
1218,35,2500
1219,31,1400.00
1220,29,1700
1221,32,2226
1222,30,2000
1223,28,1000
1224,28,2000
1225,36,11000.00
1226,43,7000
1227,42,7250
1228,21,880
1229,22,950
1230,37,7500
1231,20,1800
1232,33,3000
1233,41,9000
1234,26,1000
1235,25,2400
1236,64,39500
1237,42,5000
1238,39,13000
1239,38,12780
1240,28,3000
1241,36,6248
1242,29,5000
1243,51,21000.00
1244,21,600
1245,34,1000
1246,27,1620
1247,54,13500
1248,31,2000
1249,46,1500
1250,35,7000
1251,31,4372
1252,34,4735
1253,20,1100
1254,31,2000
1255,25,1300
1256,36,8100
1257,24,1000
1258,21,937
1259,21,1226
1260,50,1840
1261,43,3180
1262,27,1672
1263,29,1200
1264,23,1000
1265,33,2483.6
1266,20,1000
1267,31,1500.00
1268,22,1234
1269,43,15000
1270,46,2000
1271,25,1200
1272,26,1200
1273,24,905.00
1274,48,5000
1275,35,1300
1276,32,937
1277,59,8000
1278,25,2900.00
1279,26,900
1280,34,4300.00
1281,43,1700
1282,25,1710
1283,41,3000
1284,31,4000
1285,29,2500
1286,51,7000
1287,41,7000
1288,64,1400
1289,34,1387
1290,35,1500
1291,32,1000
1292,39,2100
1293,26,996
1294,22,1063
1295,51,10000
1296,29,1100.00
1297,22,1200
1298,25,1200
1299,24,1119
1300,25,2268.35
1301,45,2200
1302,27,1663
1303,32,2000
1304,34,2200
1305,26,7000
1306,30,3056
1307,26,1000
1308,35,4000
1309,34,6000
1310,35,4000
1311,39,10000.00
1312,26,1000
1313,42,2500.00
1314,39,6500
1315,41,3701
1316,48,2047
1317,43,10000
1318,27,2000
1319,25,4000.00
1320,41,900
1321,30,2000
1322,28,1000
1323,40,2500
1324,33,1900
1325,32,3100
1326,27,1001.92
1327,24,1100
1328,23,800
1329,36,752
1330,28,1428
1331,28,1800
1332,52,3000
1333,49,20000
1334,28,1473
1335,34,3150
1336,41,12784.22
1337,22,1500
1338,26,1500.00
1339,30,2033
1340,24,1578
1341,23,4506.3
1342,20,1070
1343,29,1200
1344,32,1100.00
1345,33,1500
1346,27,1750
1347,32,5000
1348,32,1500
1349,49,10000
1350,23,1300
1351,26,1098
1352,24,1200
1353,56,3900.00
1354,34,3000
1355,34,1000
1356,50,9200
1357,22,1300.00
1358,32,800.00
1359,42,15000
1360,28,2050.92
1361,23,1067
1362,42,2824.5
1363,28,2500
1364,26,1000
1365,31,937
1366,44,2586
1367,43,2168.11
1368,37,3200
1369,51,8000
1370,31,5000
1371,26,1133
1372,25,3000.00
1373,49,11580
1374,19,1000
1375,28,1800
1376,37,6500
1377,26,700.00
1378,22,1500.00
1379,25,1666
1380,25,1348
1381,23,1200
1382,50,950
1383,21,777
1384,48,2800
1385,52,2500
1386,36,1700
1387,25,2458
1388,56,1360
1389,20,1262
1390,33,2000
1391,24,1800
1392,51,2000
1393,33,3500
1394,44,6000
1395,43,2200
1396,40,1100.00
1397,31,6050
1398,22,1100
1399,50,1800
1400,29,2552
1401,23,1350
1402,19,2000.00
1403,27,4000
1404,22,1156
1405,25,1200
1406,33,3400
1407,26,1200.00
1408,26,1500
1409,34,2500
1410,44,880
1411,27,1121
1412,64,926
1413,33,5000
1414,26,2000
1415,28,1362.55
1416,22,1392
1417,41,7300
1418,32,1418
1419,32,2100
1420,25,920
1421,19,954
1422,33,3200
1423,25,2000
1424,39,2500.00
1425,49,7000
1426,26,1800
1427,55,2500
1428,39,2500
1429,29,1900
1430,24,960
1431,50,6000
1432,26,680
1433,29,1800
1434,32,5000
1435,22,890
1436,48,2000
1437,37,5000
1438,39,3300
1439,28,1542.00
1440,43,1167.00
1441,41,3000
1442,39,4800
1443,49,3000.00
1444,39,1316
1445,27,874.00
1446,34,5000.00
1447,53,4000
1448,29,1400
1449,30,2900
1450,37,22300.00
1451,28,4500.00
1452,28,3700
1453,24,1300
1454,36,2500
1455,25,1560
1456,42,2070
1457,22,954
1458,21,1000
1459,40,1500
1460,29,1800
1461,38,2490
1462,28,1226
1463,22,1600
1464,39,2000
1465,46,7900
1466,25,1800
1467,39,937
1468,27,1350
1469,49,1800
1470,54,1500
1471,31,3000
1472,33,2300
1473,30,3500
1474,42,7500
1475,28,1200
1476,38,12000
1477,49,7500.00
1478,53,3000
1479,35,4100
1480,32,4051
1481,54,5800
1482,36,4500
1483,48,5800.00
1484,52,4000
1485,70,12000.00
1486,41,2143
1487,26,2800
1488,24,1390
1489,36,8000
1490,46,15000
1491,34,3374
1492,23,1309.63
1493,25,890
1494,39,5180
1495,64,5000
1496,34,3400
1497,46,8500
1498,33,3500.00
1499,20,1318
1500,41,1500
1501,30,1731.11
1502,35,4000
1503,25,1730
1504,50,25000
1505,25,1000
1506,43,1220
1507,28,1460
1508,41,2500.00
1509,34,7850
1510,37,4700
1511,36,9800
1512,23,1500
1513,22,1000
1514,24,2000
1515,39,5500
1516,25,1100
1517,24,4500
1518,30,1464
1519,21,1000
1520,43,3000
1521,28,1990
1522,30,1500.00
1523,42,18000.00
1524,32,1430
1525,40,2200
1526,57,7500
1527,44,1000
1528,53,5500
1529,52,1560
1530,22,1000
1531,42,4500
1532,25,1000.00
1533,22,1200
1534,53,954
1535,27,3500
1536,24,1000
1537,28,1290
1538,39,5000
1539,50,1700
1540,50,10300
1541,31,2200
1542,27,1200.00
1543,43,2000.00
1544,41,1800
1545,40,4000
1546,28,3000
1547,54,4000
1548,32,3000
1549,26,1000
1550,46,6600
1551,43,3000
1552,39,1200
1553,31,1220
1554,25,2600
1555,26,1300
1556,24,900
1557,35,4500
1558,47,7500
1559,27,2000
1560,20,1000
1561,36,2000
1562,30,1278
1563,35,2300
1564,29,1400
1565,47,4500
1566,31,1500.03
1567,25,1364
1568,30,1951.00
1569,34,6000.00
1570,28,1500.00
1571,38,2500
1572,44,13000
1573,34,1400.00
1574,22,1000
1575,25,2500
1576,38,1400
1577,36,7500
1578,24,1500
1579,40,1840
1580,38,4100.00
1581,35,2100
1582,33,7750
1583,26,2000
1584,34,3130
1585,21,950
1586,19,1300
1587,47,1350
1588,42,9000
1589,41,5000
1590,41,21500
1591,34,1850.00
1592,45,1400
1593,28,880.00
1594,41,1566.4
1595,56,582
1596,41,1000
1597,25,1500
1598,32,1217
1599,21,1500
1600,25,1759
1601,41,1500.00
1602,29,2500
1603,19,700
1604,20,1000
1605,58,3700
1606,23,1724
1607,41,2587
1608,33,1300
1609,41,7000
1610,41,4200
1611,43,11500
1612,34,3700
1613,27,2034
1614,39,4000
1615,31,1500.00
1616,36,4500
1617,47,1800
1618,31,1500
1619,34,1432
1620,40,10000
1621,31,3550
1622,26,1850
1623,31,1500
1624,28,1003
1625,39,1800
1626,34,1900
1627,31,2500
1628,35,3500.00
1629,24,1300.00
1630,47,2500
1631,41,3000
1632,51,6000
1633,29,1300
1634,48,18000
1635,38,2000
1636,31,1600
1637,31,1400
1638,40,1500
1639,45,1500.00
1640,36,2000
1641,34,2000
1642,46,2000
1643,34,6000
1644,35,7300
1645,25,1057
1646,34,2500
1647,40,8000
1648,40,12350
1649,40,6800.00
1650,22,1345
1651,41,2700
1652,34,3573.5
1653,28,1600
1654,20,660
1655,28,3600
1656,26,3500
1657,20,700
1658,28,1900
1659,36,6500
1660,35,3000
1661,39,2700
1662,39,1500
1663,37,3000
1664,43,2600
1665,39,12400
1666,39,6234.04
1667,44,1900
1668,34,800
1669,20,800
1670,25,1250
1671,30,1300
1672,39,7500
1673,36,15000.00
1674,27,1500
1675,52,4980.00
1676,28,3500.00
1677,43,2674
1678,31,7000
1679,33,1500
1680,32,1700
1681,30,1500
1682,27,1488
1683,35,4000
1684,28,5000
1685,28,1500
1686,32,6500
1687,34,4000
1688,30,1900
1689,33,3000
1690,29,2200
1691,42,978
1692,26,1254
1693,34,2800.00
1694,19,689
1695,20,650
1696,50,15000
1697,21,900
1698,22,1350
1699,28,600
1700,27,1800
1701,42,1500
1702,33,1009.11
1703,47,1520
1704,43,12000
1705,43,1450
1706,35,2980
1707,48,1500
1708,27,2400
1709,37,1100
1710,36,5000
1711,23,1000
1712,33,1200
1713,36,988.00
1714,17,859
1715,38,8000
1716,28,2000
1717,32,6000
1718,31,2700
1719,34,3000
1720,29,1621
1721,26,2300
1722,48,1200
1723,38,5644
1724,22,880.00
1725,26,1900
1726,28,1000
1727,33,1789
1728,26,2425
1729,31,1200
1730,37,5000
1731,37,2200.00
1732,50,7000
1733,25,1088.00
1734,43,1956.18
1735,26,1500
1736,20,600
1737,36,7000
1738,23,613
1739,36,983
1740,30,2602
1741,18,1200
1742,22,1028
1743,46,8000
1744,29,2600
1745,40,3000
1746,32,2218
1747,39,3800
1748,28,1800
1749,25,1500.00
1750,59,4000
1751,45,2500
1752,25,2000
1753,41,8000
1754,32,3508.41
1755,36,2200.00
1756,36,10000.00
1757,33,1600
1758,47,6000
1759,41,4500
1760,29,1500
1761,46,5000
1762,39,4000
1763,42,5000
1764,44,7000
1765,33,4700
1766,40,1800
1767,24,3000
1768,43,10000
1769,40,5000
1770,38,1800
1771,37,5400
1772,22,893
1773,27,2400
1774,35,2240
1775,25,1170
1776,36,1724
1777,56,1200
1778,24,3400
1779,29,5880
1780,29,2000
1781,33,3700
1782,32,4000
1783,52,5000
1784,32,4500
1785,27,1400
1786,33,1860.00
1787,31,3800
1788,42,1416.23
1789,32,880.00
1790,39,4830
1791,52,6600
1792,36,2001
1793,33,4000
1794,35,2800
1795,48,3000
1796,39,4500
1797,26,1201.79
1798,28,7500
1799,31,1600
1800,47,2870.00
1801,36,1200
1802,37,1700
1803,29,980
1804,24,1400.00
1805,40,3500
1806,30,3500.00
1807,52,11500
1808,46,1100
1809,41,10000
1810,52,3500
1811,31,4554
1812,26,3900
1813,23,920.00
1814,46,30900
1815,33,16000
1816,28,1700
1817,22,1500
1818,46,17270.78
1819,37,12477.61
1820,26,2880
1821,34,2000
1822,27,1059
1823,27,1090
1824,50,9800
1825,31,7500
1826,23,2794.1
1827,57,7000
1828,53,15689
1829,26,1000
